Artist,Streams,Tracks,Genres
Rochy RD,2605349,Ella No Es Tuya - Remix,"dembow, rap dominicano, trap latino"
De La Ghetto,6414051,"Si Quieren Frontear, Si Quieren Frontear, KU', Se Le Ve, ULTRA SOLO REMIX, Loco Por Perrearte - Remix, Tussi, 1, 2, 3 (feat. Jason Derulo & De La Ghetto)","reggaeton, reggaeton flow, trap latino, urbano latino"
WOS,10637046,"ARRANCARMELO, NIÑO GORDO FLACO, QUEREME, MIRÁ MAMÁ, CULPA, CAMBIANDO LA PIEL, MELÓN VINO, MIRÁ MAMÁ, ALMA DINAMITA, ANDRÓMEDA, CONTANDO OVEJAS, BUITRES, PARED DE CRISTAL, GATO NEGRO, QUE SE MEJOREN, CANGURO, QUE SE MEJOREN, OKUPA, LLENO DE ZAFIROS, CONVOY JARANA, INTRODUCCIÓN AL ÉXTASIS","argentine indie, trap argentino"
Farruko,8858236,"Pepas, Pepas, La Tóxica, Relación - Remix, No Te Enamores - Remix, 3G (feat. Jon Z, Don Chezina, Chencho Corleone & Myke Towers) - Remix, Si Me Dices Que Sí, Suelta, Diles, ME PASE (feat. Farruko)","reggaeton, trap latino, urbano latino"
Nio Garcia,7756705,"AM, AM Remix, No Te Enamores - Remix, Travesuras - Remix, La Jeepeta - Remix, Se Menea, Travesuras, Tus Poses, Mírame - Remix","reggaeton, trap latino, urbano latino"
Flow La Movie,3314424,"AM, Travesuras - Remix, Travesuras",reggaeton
Joji,2640038,"Glimpse of Us, SLOW DANCING IN THE DARK",viral pop
Wisin,5986976,"Fiel, Fiel - Remix, Mi Niña, 3G (feat. Jon Z, Don Chezina, Chencho Corleone & Myke Towers) - Remix, Buenos Días, Emojis de Corazones (feat. Los Legendarios), Fiel","electro latino, reggaeton, trap latino, urbano latino"
Jhay Cortez,13918242,"Fiel, DÁKITI, 512, Fiel - Remix, Tarot, 911 - Remix, Ley Seca, Súbelo, Súbelo, La Curiosidad (feat. Dj Nelson, Jhay Cortez, Lunay & Kendo Kaponi) - Blue Grand Prix Remix, Magnum, Emojis de Corazones (feat. Los Legendarios), Dile (Homenaje), SÚBELE EL VOLUMEN, Christian Dior, Delincuente, Fiel, CÓMO SE SIENTE - Remix","reggaeton, trap latino, urbano latino"
FMK,16318331,"Tranquila, YO SE QUE TU (feat. Rusherking), Tranquila, Prende la Cámara, INTERESTELAR, BANDIDO, Tu Nombre, Prende la Cámara RMX, Otro, Pal Carajo el Amor, Hoy Volvi a Verte - Remix, De Vacaciones, Ese Mensaje, Gatas, Pal Carajo el Amor, Dime, YO SE QUE TU (feat. Rusherking), Princesa, AYNEA REMIX","trap argentino, trap triste"
Fuego,2288113,Una Vaina Loca,"electro latino, rap dominicano, trap latino"
Manuel Turizo,8007596,"Una Vaina Loca, Maldita Foto, La Nota, La Nota, La Bachata, Quiéreme Mientras Se Pueda, Mala Costumbre, Cosas Malas, Amor en Coma, Quiéreme Mientras Se Pueda, Mala Costumbre","colombian pop, reggaeton, reggaeton colombiano, trap latino, urbano latino"
Glass Animals,2262616,Heat Waves,"gauze pop, indietronica, modern rock, pov: indie, shiver pop"
Kate Bush,2260168,Running Up That Hill (A Deal With God) - 2018 Remaster,"art pop, art rock, baroque pop, new wave pop, permanent wave, piano rock, singer-songwriter"
